paragraph,label
"These self-assessments and key risk indicators are regularly monitored. All Fubon operating units in Taiwan have completed corruption-related risk assessments, and the results are quantified to identify existing or potential unethical behavior risks and take corrective action.",[0]
"In 2021, the Company received a total of 23 reports in the tip-off mailbox, none of which involved alleged corruption or unethical behavior.",[0]
"Fubon employees on concepts such as acting with integrity, combating corruption, and staying disciplined every three years.",[0]
"Fubon Financial Holdings require new employees to take about three hours of digital courses on the prevention of money laundering and the financing of terrorism, personal information protection, information security, and the three lines of defense internal control framework, as well the compliance system and legal education.",[1]
"• Continues to solidify the information security strategy; in 2021, 24 meetings on information security were held, and its three-year certification under ISO 27001 was renewed.",[1]
"At a time when innovative digital financial services are being introduced at breakneck speed, Fubon Financial Holdings continues to enhance its information security management and protection capabilities.",[1]
"Since Fubon Life first launched microinsurance services, it has steadily expanded the protective umbrella, aspiring to provide basic insurance coverage to disadvantaged individuals at affordable rates to keep families from falling into hardship in an emergency",[2]
"Continues to provide social support for disadvantaged groups and community-oriented financial services.",[2]
"Promoted loans on policies to provide financial relief and ease financial pressures faced by customers during the pandemic; assistance included relief plans for the economically disadvantaged in addition to policy loans",[2]
"The move should bolster Fubon’s banking and securities businesses and lead to greater synergies, contributing to an even broader array of financial department store services.",[3]
"The move should bolster Fubon’s banking and securities businesses and lead to greater synergies within the organization.",[3]
"Through impact valuation methodology, Fubon is gaining insight into the carbon reduction benefits and real value created by different renewable technologies and expects to use it to inform its business strategies and impact investing initiatives.",[3]
"The Company is dedicated to being a good employer, developing a competitive salary structure and fostering a healthy workplace environment that helps retain employees and keeps them engaged.",[4]
"Salary and benefits policies are regularly reviewed to strengthen the Company’s competitiveness on compensation.",[4]
"None of the cases in 2021 involved anti-competitive practices, corruption, or leaks of personal information.",[4]
"The Carbon Disclosure Project, meanwhile, has named Fubon to its “A” list and Supplier Engagement Leaderboard two years in a row, and Sustainalytics ranked it third in the global insurance industry in its ESG risk ratings.",[5]
"Supporting climate risk policies and related climate initiatives",[5]
"To cater to the different needs and risks of society and companies, introduced Taiwan’s first vaccine insurance policy and a policy covering minimally invasive da Vinci cancer surgery.",[5]
"Fubon Insurance gave customers a way to buy insurance safely with “Next2U” remote videoconference insurance services",[6]
"Taipei Fubon Bank provided sign language interpretation services to assist hard-of-hearing customers.",[6]
"Beyond deepening its presence in Taiwan, Fubon Financial Holdings has steadily forged a regional network aimed at providing old and new customers a comprehensive portfolio of financial services.",[6]
"Independence and diversity of the board of directors, board of director operations, board of director performance evaluations, continuing education for directors, ethical management policies and systems.",[7]
"The Company has stipulated standards for attendance in the board directors' self-assessment questionnaire.",[7]
"A clear conflict of interest avoidance system has also been established for board directors.",[7]
"Fubon actively promotes diversity in the board’s composition by pursuing a balance of expertise and gender. ",[8]
"Employee engagement and turnover rate are two important indicators of corporate development and workplace diversity.",[8]
"Fubon Financial Holdings supports and puts into practice a Human Rights Policy that stresses diversity and inclusion and treating employees with a respectful attitude.",[8]
"Create a diverse environment where people are treated with respect and communications are harmonious; continue to push talent development, attraction and retention plans; and forge a healthy and safe workplace.",[9]
"Labor-management meetings and occupational safety and health meetings held quarterly",[9]
"Employee participation in wellness and health-related activities incorporated into the evaluation indicators of top management.",[9]
"Foundations and community exchanges facilitated through Fubon’s annual gifts and premiums program.",[10]
"Continues to provide social support for disadvantaged groups and community-oriented financial services.",[10]
"Fubon Financial Holdings relies on a wide variety of recruitment channels and digital technologies to hold campus and community recruiting events, and follows online public opinion to help shape recruiting messaging, attract top-notch talent, and optimize the selection process.",[10]
"Labor-management meetings and occupational safety and health meetings held quarterly",[11]
"• Two-way labor-management communications maintained on worker benefits and working conditions; they help promote better labor-management cooperation and relations",[11]
"• Offered a diverse range of claims options and cut down the amount of manual labor involved in claims applications, reducing the workloads of Fubon agents and increasing the accuracy of the documents provided.",[11]
