paragraph,label
"During FY22, we continued to explore how  to create transparency in the complex  inorganics supply chains. Together with  suppliers and sub-suppliers, and other  actors in the sector, the IKEA business is  looking into how traceability of these raw  materials, up to the source of origin, could  be possible to achieve in a realistic and  trustworthy way. These collaborations have  also looked at how to identify and mitigate  risks along the supply chain",[0]
"•  Ensuring ethical business practices, including  combating corruption, securing ethical data handling  and digital technology, complying with both the letter  and the spirit of the law when it comes to corporate tax  policies, and being transparent about taxes paid",[0]
"4 The Gender Equal Pay commitment and subsequent actions to support it are undertaken by the IKEA franchisee Ingka Group",[0]
"1 Historical data should not change, but we always revise historical figures if data quality or  science has improved",[1]
"long-term commitment is to make sure sustainable  living is affordable and accessible to the many, and  together we will make it happen",[2]
"People around the world are facing rising  prices due to inflation. The IKEA business  also struggles with inflation and, unlike in  FY21, has no longer been able to absorb  the continuous increase in costs. This has  led to necessary price increases for our  customers. With the global rise of raw  material and commodity prices, as well  as other costs for sourcing and supplying  products, securing low prices remains  a big challenge, but we continue to do  our utmost to deliver on our affordability  ambitions",[2]
"During the year, there were more  than 5.1 billion visits to IKEA  retail through our stores and  websites. We know we have a big  opportunity and responsibility  to make a positive difference  through our home furnishing  offer, and by sharing our home  furnishing knowledge",[2]
"To ensure the long-term growth and development of the  IKEA business, we use a franchise system. This provides  financial stability while allowing franchisees to challenge,  test and explore new markets and ideas. Together, we  continue to develop the IKEA Brand",[3]
"Despite the complex situation, total IKEA sales  reached EUR 44.6 billion in FY22, up 6.5% compared  to FY21. The pandemic limited growth in FY21, and  IKEA retail sales benefited as the world re-opened",[3]
Our sustainability strategy is reviewed annually  to secure alignment with the total IKEA strategic  landscape and external developments,[3]
"To ensure the long-term growth and development of the  IKEA business, we use a franchise system. This provides  financial stability while allowing franchisees to challenge,  test and explore new markets and ideas. Together, we  continue to develop the IKEA Brand",[4]
"initiative, we supported a push for  accelerated action and a levelled playing  field for global businesses, a push that  made it into the final agreement",[4]
"•  Taking the lead and joining forces with others through  advocacy, collaboration, and business partnerships",[4]
"In the beginning of March 2022, Inter IKEA Group  and Ingka Group announced the pausing of IKEA  operations in Russia and Belarus. In June, the  decision was taken to stop IKEA operations in those  countries and we've since been scaling down, step  by step",[5]
"The continued conflict demands extreme agility as the reality on  the ground is constantly changing. We're continuously assessing  the situation and responding with support and relief in various  ways, including monetary and in-kind donations",[5]
We’ll take learnings and insights from this experience forward  into future reviews of our crisis management procedures,[5]
"In this challenging year, we first and foremost  want to thank all our colleagues, customers and  suppliers for their continued support and hard work",[6]
"During the year, there were more  than 5.1 billion visits to IKEA  retail through our stores and  websites. We know we have a big  opportunity and responsibility  to make a positive difference  through our home furnishing  offer, and by sharing our home  furnishing knowledge",[6]
"During FY22, we've been working with  partners to develop the communication  approach for shifting our range to healthier  eating and to inspire more customers to  choose healthier options",[6]
