paragraph,label
"For 130 years, Flexsteel has been passionate about  the full support of our Board of Directors, energized  building high-quality, comfortable furniture that’s  by the enthusiasm of our associates, and guided by  designed for living and built for a lifetime","[0.154, 0.015, 0.038, 0.026, 0.017, 0.039, 0.006, 0.042, 0.131, 0.021, 0.048, 0.009, 0.036, 0.02, 0.006, 0.024, 0.03, 0.028, 0.031, 0.024, 0.029, 0.036, 0.021, 0.044, 0.026, 0.018, 0.012]"
our dedicated ESG team who will lead our mission for  tremendous pride in the craftsmanship that lies  years to come,"[0.101, 0.022, 0.06, 0.029, 0.014, 0.047, 0.007, 0.029, 0.113, 0.018, 0.041, 0.009, 0.051, 0.037, 0.008, 0.021, 0.021, 0.041, 0.026, 0.029, 0.022, 0.018, 0.03, 0.043, 0.053, 0.043, 0.013]"
at the heart of all our products because it reflects  our unwavering commitment to excellence,"[0.113, 0.018, 0.069, 0.031, 0.021, 0.036, 0.007, 0.027, 0.145, 0.027, 0.067, 0.011, 0.035, 0.026, 0.009, 0.021, 0.024, 0.046, 0.021, 0.02, 0.023, 0.025, 0.024, 0.026, 0.027, 0.031, 0.007]"
"commitment is what drives us in our relentless  pursuit of quality, resulting in durable furniture that  can be passed down from generation to generation","[0.116, 0.01, 0.056, 0.033, 0.019, 0.027, 0.004, 0.021, 0.212, 0.023, 0.056, 0.012, 0.022, 0.034, 0.006, 0.02, 0.044, 0.023, 0.016, 0.015, 0.034, 0.027, 0.021, 0.015, 0.018, 0.015, 0.008]"
"We have been intentional in the review of our  business, regularly identifying new opportunities  to make an impact, assessing everything from the  way we design our products, to the way we source  materials, and even how we work with suppliers","[0.038, 0.027, 0.043, 0.025, 0.028, 0.018, 0.016, 0.035, 0.046, 0.05, 0.03, 0.041, 0.027, 0.033, 0.028, 0.021, 0.021, 0.137, 0.01, 0.032, 0.021, 0.044, 0.052, 0.029, 0.048, 0.036, 0.015]"
"At our very core, our drive stems from a profound  And, as this report shows, these efforts have already  sense of purpose, rooted in our respect for people, our  resulted in some impactful changes to the way we do  communities, and our planet. We are dedicated to  business. As we look ahead to the next year, we intend  making a positive difference wherever we can, guided  to expand upon our commitment to ESG initiatives  by the belief that not only is it simply the right thing  and further formalize the structure of our program by  to do, but it’s also the right thing for our business","[0.01, 0.026, 0.026, 0.007, 0.014, 0.009, 0.03, 0.021, 0.025, 0.033, 0.029, 0.037, 0.033, 0.084, 0.03, 0.016, 0.029, 0.03, 0.018, 0.029, 0.017, 0.01, 0.017, 0.039, 0.061, 0.213, 0.024]"
setting tangible goals for continued progress,"[0.035, 0.019, 0.058, 0.021, 0.022, 0.02, 0.01, 0.029, 0.108, 0.045, 0.046, 0.042, 0.03, 0.026, 0.024, 0.018, 0.023, 0.127, 0.016, 0.017, 0.021, 0.029, 0.042, 0.026, 0.031, 0.042, 0.018]"
"Humility is a fundamental aspect of our culture and  We are personally committed to this crucial mission  ensures we prioritize doing the right thing without  and our greater purpose, and we are excited about  seeking undue recognition. However, as a results- what lies ahead. More importantly, we are committed  driven organization, we understand the importance  to achieving real change that makes a lasting positive  of measuring our progress, continuously improving,  impact","[0.041, 0.029, 0.061, 0.021, 0.022, 0.021, 0.012, 0.031, 0.102, 0.035, 0.046, 0.039, 0.038, 0.03, 0.024, 0.02, 0.024, 0.1, 0.014, 0.018, 0.02, 0.023, 0.046, 0.03, 0.035, 0.05, 0.017]"
"and taking accountability to maximize our positive  impact on people, communities, and the planet","[0.044, 0.028, 0.027, 0.028, 0.022, 0.017, 0.015, 0.038, 0.075, 0.039, 0.02, 0.037, 0.032, 0.033, 0.014, 0.039, 0.031, 0.091, 0.019, 0.032, 0.03, 0.023, 0.042, 0.039, 0.066, 0.04, 0.035]"
"recognize the need to formalize our commitment,  and this inaugural sustainability report signifies our  first step in that direction","[0.127, 0.013, 0.045, 0.031, 0.018, 0.026, 0.006, 0.027, 0.169, 0.025, 0.037, 0.014, 0.029, 0.026, 0.009, 0.022, 0.032, 0.049, 0.025, 0.016, 0.028, 0.029, 0.025, 0.037, 0.027, 0.023, 0.013]"
Deeply held values infuse everything we do at Flexsteel,"[0.091, 0.007, 0.058, 0.024, 0.017, 0.028, 0.004, 0.02, 0.204, 0.029, 0.104, 0.015, 0.024, 0.023, 0.01, 0.018, 0.025, 0.03, 0.019, 0.013, 0.029, 0.047, 0.021, 0.02, 0.012, 0.014, 0.005]"
"Our six core values drive us forward as a business and  Flexsteel Industries, Inc. is a premier manufacturer  shape our efforts to be good corporate citizens who  and distributor of residential furniture known for its  care for the environment and one another, and who are  lasting beauty and enduring comfort. Our commitment  passionate about the needs in our own communities","[0.087, 0.014, 0.056, 0.015, 0.014, 0.036, 0.006, 0.036, 0.11, 0.025, 0.173, 0.009, 0.048, 0.015, 0.008, 0.016, 0.019, 0.016, 0.02, 0.025, 0.025, 0.056, 0.017, 0.043, 0.011, 0.02, 0.004]"
