paragraph,label
"This report summarises our performance compared to  the IKEA sustainability strategy, People & Planet Positive,  during FY22. It covers the entire IKEA value chain and  franchise system and provides an update on activities  and the ongoing work to measure progress. The IKEA  Sustainability Report is issued by Inter IKEA Group","[0.026, 0.029, 0.032, 0.023, 0.025, 0.019, 0.019, 0.036, 0.046, 0.044, 0.025, 0.036, 0.031, 0.03, 0.019, 0.022, 0.02, 0.138, 0.014, 0.027, 0.019, 0.023, 0.047, 0.037, 0.066, 0.061, 0.033]"
"The reporting period follows the financial year 2022  (FY22), which runs from 1 September 2021 to 31 August  2022. Percentages in this report may not total 100% due  to rounding differences","[0.019, 0.012, 0.025, 0.01, 0.009, 0.014, 0.01, 0.02, 0.071, 0.034, 0.058, 0.019, 0.022, 0.146, 0.022, 0.02, 0.036, 0.026, 0.015, 0.022, 0.037, 0.027, 0.027, 0.033, 0.051, 0.127, 0.02]"
The IKEA business is defined as the business activities  performed by all entities operating under the IKEA  Brand. “We” in this report refers to the IKEA business,"[0.096, 0.017, 0.077, 0.035, 0.017, 0.028, 0.006, 0.025, 0.125, 0.019, 0.137, 0.014, 0.037, 0.026, 0.009, 0.022, 0.021, 0.018, 0.021, 0.019, 0.029, 0.04, 0.017, 0.033, 0.015, 0.024, 0.005]"
"IKEA value chain includes sourcing and extracting raw  materials, manufacturing, transporting of products, retail  activities in stores, customer travel to stores, product use  in customers’ homes and product end-of-life","[0.036, 0.025, 0.061, 0.023, 0.018, 0.021, 0.014, 0.027, 0.089, 0.032, 0.051, 0.033, 0.038, 0.051, 0.019, 0.024, 0.026, 0.078, 0.02, 0.021, 0.026, 0.019, 0.037, 0.026, 0.042, 0.077, 0.018]"
"To ensure the long-term growth and development of the  IKEA business, we use a franchise system. This provides  financial stability while allowing franchisees to challenge,  test and explore new markets and ideas. Together, we  continue to develop the IKEA Brand","[0.044, 0.033, 0.048, 0.025, 0.024, 0.02, 0.016, 0.035, 0.065, 0.035, 0.029, 0.032, 0.035, 0.03, 0.022, 0.022, 0.024, 0.129, 0.016, 0.02, 0.018, 0.021, 0.049, 0.034, 0.05, 0.05, 0.023]"
1 Inter IKEA Group consists of Inter IKEA Holding B.V. and all its subsidiaries,"[0.037, 0.03, 0.03, 0.023, 0.018, 0.013, 0.015, 0.033, 0.064, 0.032, 0.033, 0.033, 0.03, 0.044, 0.017, 0.03, 0.027, 0.084, 0.017, 0.021, 0.02, 0.017, 0.034, 0.052, 0.068, 0.099, 0.034]"
An overview of all Inter IKEA Holding subsidiaries can be found here,"[0.032, 0.039, 0.056, 0.021, 0.021, 0.019, 0.017, 0.031, 0.069, 0.031, 0.042, 0.033, 0.046, 0.062, 0.023, 0.028, 0.025, 0.074, 0.015, 0.026, 0.022, 0.019, 0.053, 0.028, 0.049, 0.061, 0.014]"
"FY22 was a year of challenges affecting  people all over the world as well as  the IKEA business – the still ongoing  COVID-19 pandemic, the devastating  war in Ukraine, high inflation impacting  cost of living, climate change, escalating  nature loss and rising inequalities","[0.046, 0.017, 0.071, 0.017, 0.012, 0.036, 0.006, 0.023, 0.104, 0.029, 0.183, 0.013, 0.042, 0.025, 0.014, 0.014, 0.018, 0.031, 0.019, 0.02, 0.019, 0.035, 0.019, 0.035, 0.02, 0.048, 0.007]"
"times like these, it’s more important  than ever to stay committed to our  sustainability strategy – it’s critical for  our business and an important part of  fulfilling our vision","[0.041, 0.031, 0.03, 0.02, 0.014, 0.011, 0.014, 0.03, 0.047, 0.033, 0.024, 0.035, 0.024, 0.048, 0.021, 0.03, 0.038, 0.074, 0.017, 0.02, 0.023, 0.013, 0.026, 0.048, 0.09, 0.106, 0.039]"
"In this challenging year, we first and foremost  want to thank all our colleagues, customers and  suppliers for their continued support and hard work","[0.041, 0.035, 0.061, 0.021, 0.02, 0.022, 0.009, 0.051, 0.069, 0.044, 0.033, 0.028, 0.019, 0.025, 0.021, 0.024, 0.032, 0.098, 0.033, 0.015, 0.019, 0.013, 0.018, 0.043, 0.035, 0.073, 0.049]"
