paragraph,label
"For 130 years, Flexsteel has been passionate about  the full support of our Board of Directors, energized  building high-quality, comfortable furniture that’s  by the enthusiasm of our associates, and guided by  designed for living and built for a lifetime",8
our dedicated ESG team who will lead our mission for  tremendous pride in the craftsmanship that lies  years to come,0
at the heart of all our products because it reflects  our unwavering commitment to excellence,18
"commitment is what drives us in our relentless  pursuit of quality, resulting in durable furniture that  can be passed down from generation to generation",3
"We have been intentional in the review of our  business, regularly identifying new opportunities  to make an impact, assessing everything from the  way we design our products, to the way we source  materials, and even how we work with suppliers",15
"At our very core, our drive stems from a profound  And, as this report shows, these efforts have already  sense of purpose, rooted in our respect for people, our  resulted in some impactful changes to the way we do  communities, and our planet. We are dedicated to  business. As we look ahead to the next year, we intend  making a positive difference wherever we can, guided  to expand upon our commitment to ESG initiatives  by the belief that not only is it simply the right thing  and further formalize the structure of our program by  to do, but it’s also the right thing for our business",0
setting tangible goals for continued progress,25
"Humility is a fundamental aspect of our culture and  We are personally committed to this crucial mission  ensures we prioritize doing the right thing without  and our greater purpose, and we are excited about  seeking undue recognition. However, as a results- what lies ahead. More importantly, we are committed  driven organization, we understand the importance  to achieving real change that makes a lasting positive  of measuring our progress, continuously improving,  impact",25
"and taking accountability to maximize our positive  impact on people, communities, and the planet",10
"recognize the need to formalize our commitment,  and this inaugural sustainability report signifies our  first step in that direction",15
Deeply held values infuse everything we do at Flexsteel,2
"Our six core values drive us forward as a business and  Flexsteel Industries, Inc. is a premier manufacturer  shape our efforts to be good corporate citizens who  and distributor of residential furniture known for its  care for the environment and one another, and who are  lasting beauty and enduring comfort. Our commitment  passionate about the needs in our own communities",22
to excellence is grounded in the small but important  details developed over the last 130 years. The skills of our  employees are unmatched and so is their craftsmanship,15
"Creating a sense of belonging for all by offering an  environment that seeks, welcomes, respects, and values  characteristics that define each of our three exceptional  the contributions of all individuals and groups equally",15
Having the autonomy to use information and knowledge  Flexsteel® combines heritage with innovation. At the heart  to influence and make business decisions,14
"inspired our company’s name. Flexsteel® is carried by  Ability and capability to efficiently respond to different  more than 1,300 retailers nationwide and is renowned for  and/or changing requirements",10
its handcrafted upholstered and wood furniture products,3
"homestyles™ offers creative, space-saving furniture  that combines exceptional design and outstanding  functionality. It sells direct to consumers and through  online retail partners, such as Amazon and Wayfair",3
"Charisma™ is our newest brand and is designed for  consumers who are seeking quality, stylish furniture at  affordable prices",3
Seeing through the lens of channel partners and  consumers to drive excellent customer service,17
Accountability for delivering results to all internal and  external stakeholders,15
"1,550 people worldwide to infuse their time and talents  Challenge the status quo and find ways to improve all  with robust processes to make products that will last our  areas around you",10
"“At Flexsteel, we believe doing the right thing is always  good business. That’s why we are elevating ESG as a  strategic imperative, helping to create a bright future for  our business, our people, and our planet",9
"We foster a culture of innovation and collaboration within our  company, encouraging employees to contribute to positive  Improving lives and creating a better future has always  change not only at work but also in their communities",15
"been at the forefront of our minds, motivating us to create  By embracing ESG principles, we not only contribute  high-quality furniture that can be passed down to children  to a sustainable future but also enhance our resilience,  and grandchildren. We conduct our business in an ethical  competitiveness, and long-term value for all stakeholders",9
"and responsible manner because we are driven by a  We remain confident our efforts can help create a better  higher purpose to always do the right thing and do what  world for future generations. In this report, we highlight the  we can to positively impact the lives and communities of  work we have done to date – and our future plans – to help  all our stakeholders",15
"build a healthy planet, healthy people, and a healthy culture",12
"Our approach draws on a benchmark review of our  and sustainable practices. We understand that considering  peers, the ESG frameworks of SASB and TCFD, and the  environmental, social, and governance factors is crucial for  ESG ratings agencies MSCI, Sustainalytics, and ISS ESG",8
"creating long-term value and managing risks, which is why  The insights of our investors and internal and external  we are committed to integrating ESG considerations into our  stakeholders help ensure our focus is both good for the  decision-making processes and operations at all levels of our  world and good for our business",23
"organization. By doing so, we remain focused on achieving a  healthy balance between economic growth, social progress,  and environmental stewardship",8
"We actively engage with all stakeholders, because we believe  that involving diverse voices and opinions will lead to more  impactful outcomes as we build out our ESG initiatives",10
"And although we are early in our journey, we remain  ESG matters at Flexsteel are overseen by the Board of  Directors through our Nominating and Governance  Committee and championed by all Board members,  ensuring it remains central to every decision we take",8
"committed to continuously evaluating and improving our  ESG initiatives are sponsored by an executive steering  ESG performance by setting measurable targets, monitoring  committee comprised of key leaders representing  key performance indicators, and implementing strategies to  diverse functional areas, including supply chain, product  address risks and seize opportunities",15
"development, and human resources, who ensure  adequate resource allocation and organizational focus to  execute and achieve our goals. A significant number of our  improvement plans are executed by two dedicated ESG  managers, one of whom is based in Asia",9
"in the American Home Furnishings Alliance, the  premier authority and advocate on all health, safety, and  environmental information related to home furnishings",17
"At Flexsteel, we care deeply about protecting and improving  effort to select and source standardized components  the environment for future generations. We are determined  whenever possible. This minimizes part obsolescence and  to do our part in helping address the challenges of climate  makes it easier to repair and service products when they  change by leading initiatives to lessen the impact our  are in use. Our replacement parts program extends to over  products and operations have on the environment. To date,  1,000 components, encouraging our customers to choose  our efforts have been focused on laying the foundations  repair over replacement, which in turn extends the lifespan  for success: gathering data across our business and wider  of products and promotes circularity",23
supply chain and strengthening our processes,17
"Looking ahead, it is vital for us to develop products  We have engaged with third-party specialists to help us  that have sustainability in mind, while still providing  calculate greenhouse gas (GHG) emissions for all assets  exceptional comfort and quality. This work has already  under our operational control in an effort to understand  started. We are proud to launch innovative products  how we can best mitigate our impact from our direct  this year, like the Sky and Flex™ seating lines that utilize  operations and beyond. As we look forward, we will  sustainably harvested wood and a higher proportion of  continue this work and extend it to our entire value chain  recycled materials",15
in preparation to set targets and make evidence-based  decisions that have a real impact in every area of our  product portfolio and business,15
"Our products are built to last and intended to be handed  down from generation to generation. Our Flexsteel  branded upholstered products are backed by a limited  lifetime warranty, and we are proud to say that we expertly  service warranty requests for products that sometimes  exceed 40 years old",15
"These products are made using wood from responsibly  managed forests, following strict environmental, social, and  economic standards set by the Sustainable Forestry Initiative  (SFI). They also incorporate recycled fabrics to reduce our  consumption of new materials. For transportation, we use  recyclable honeycomb cardboard and packaging",17
"Our new Sky seating line uses a cushion filling called  CloudLux™, made from recycled plastic bottles",14
"hypoallergenic and sustainable. And we are excited to share  that every 3-piece Sky sofa helps prevent 730 plastic water  This commitment to longevity strongly resonates with  bottles from entering waterways and landfills. Additionally,  today’s consumers because it not only extends the value of  Sky seating is available in two fabrics made from LiveSmart  the furniture but also its lifecycle. This focus allows us to use  Evolve™ polyester, which includes recycled materials like   fewer virgin materials in the long term, and it generates  post-consumer plastic bottles and pre-consumer fiber waste",0
less waste because we’re investing thoughtfully in quality  from the start. It gives us a strong foundation to build on as  we improve the positive impact of our products,8
"Accelerating our progress is a shared undertaking, which is  why we are drawing on industry bodies and wider industry  expertise to support us in our mission, like our membership  We are excited to bring these products to the market and are  looking forward to designing and creating more products  with these features in the years to come. Ultimately, our goal  is for all new products to follow the same rigorous approach  to meet the growing demand for sustainable home  furnishings and fulfill our sustainability goals",24
"The materials we use reflect our commitment to doing  what’s right for people and the planet. We have high  This data expansion will give us a complete picture and  transparency on our most environmentally responsible  options, hugely benefiting future product development",14
"standards in every aspect of our operations and actively  In addition, we are actively working to establish new eco- review our processes to ensure robust and responsible  packaging standards for all our product categories",10
material-sourcing practices across all our operations,15
objective is to phase out our use of Styrofoam and replace it  Wood has been a focus in this work because it is a key  component for us. In the 2023 fiscal year we developed a  comprehensive database of sourced Flexsteel products that  contain wood fiber. This database serves as a starting point  to determine the amount of sustainable wood used in our  products and will help us track our progress in the future,17
We prioritize timber and wood fiber that is legally  harvested and sourced responsibly using environmentally  and socially sustainable forestry practices,23
•  Best is FSC Certified Wood – wood that is from forests  managed in line with Forest Stewardship Council  principles and criteria,4
"•  Better is PEFC, SFI, or FSC Controlled Wood –  wood that is from forests with Programme for the  Endorsement of Forest Certification, Sustainable  Forestry Initiative certification, or wood that mixes  FSC-certified material with non-certified materials  grown and harvested under controlled conditions",8
•  Good is wood that is certified by a local or national  authority in countries with low risk of illegal logging,3
"In the 2023 fiscal year, we sourced 17,530 cubic meters of  wood through third party suppliers of sourced finished  goods. Of this, 21% was sourced from third-party certified  forestlands: 11% was classified as Best and 10% was classified  as Good. The remainder was all legally logged under the  requirements of the Lacey Act, a 2008 Farm Bill that combats  illegal trafficking of plant and timber materials",15
"In the next year, we will strive to secure similar detailed  information for wood used by our own manufacturing facilities",8
"with honeycomb cardboard, which is considerably easier to  recycle. This change not only reduces waste but also enhances  convenience for our customers while maintaining the high  quality they expect from us.  We are proud to share that we  have already successfully implemented these modifications  for one of our newest product lines, and we have plans to  introduce similar changes to further product lines",0
"Extending our commitment to sustainable materials  sourcing, we have implemented a well-established process  of annually surveying all our suppliers and internal locations  to identify and eliminate any use in our products of conflict  minerals that directly or indirectly finance or benefit armed  groups in the DRC and surrounding countries. This process  confirms that there is no indication at this time that any  of our products incorporate any conflict minerals",23
outcomes of these surveys are reported to the Securities  and Exchange Commission,15
include all materials and packaging used in all our products,15
2022 ESG ReportProduct Quality and Safety At the core of our operations lies a deep commitment  to the enduring quality and safety of our products,10
recognize that our products will spend a significantly  longer time in our customers’ homes than they ever will  in our factories. This awareness drives us to prioritize and  uphold the highest standards throughout our entire  manufacturing process,17
"We have implemented comprehensive product, safety,  and compliance testing programs at each of our sites",9
These programs serve as the foundation for early issue  identification and help us minimize rejection rates,8
"When an issue is identified, we empower employees at  every level to raise their hands and share their concerns",12
"At Flexsteel, we prioritize chemical safety and  environmental responsibility. We believe that no product  dedication to continuous improvement",3
"should compromise any person’s safety or harm the  planet. That’s why we adhere to strict chemical safety  standards, tests, and processes",15
that all newly sourced items adhere to   these established standards,8
"For manufactured wood used in our products, we obtain  TSCA Title VI/CANFER compliance records annually,  certifying adherence to formaldehyde emissions  regulations. As we further develop our ESG initiatives, we  are committed to expanding these testing measures to  encompass our existing products. This comprehensive  approach will also include conducting regulatory retesting  every three years, with a goal to not only meet but exceed  the ambitious targets we set for ourselves",15
