paragraph,label
"This report summarises our performance compared to  the IKEA sustainability strategy, People & Planet Positive,  during FY22. It covers the entire IKEA value chain and  franchise system and provides an update on activities  and the ongoing work to measure progress. The IKEA  Sustainability Report is issued by Inter IKEA Group","[0.032, 0.044, 0.023, 0.026, 0.075, 0.047, 0.024, 0.036, 0.018, 0.073, 0.018, 0.016, 0.009, 0.017, 0.075, 0.005, 0.018, 0.087, 0.006, 0.034, 0.022, 0.071, 0.028, 0.048, 0.031, 0.023, 0.044]"
"The reporting period follows the financial year 2022  (FY22), which runs from 1 September 2021 to 31 August  2022. Percentages in this report may not total 100% due  to rounding differences","[0.018, 0.09, 0.031, 0.021, 0.059, 0.089, 0.019, 0.048, 0.071, 0.032, 0.042, 0.018, 0.023, 0.042, 0.022, 0.012, 0.037, 0.024, 0.007, 0.02, 0.033, 0.02, 0.046, 0.034, 0.013, 0.017, 0.063]"
The IKEA business is defined as the business activities  performed by all entities operating under the IKEA  Brand. “We” in this report refers to the IKEA business,"[0.013, 0.053, 0.024, 0.042, 0.071, 0.098, 0.036, 0.028, 0.037, 0.043, 0.033, 0.029, 0.025, 0.027, 0.02, 0.017, 0.028, 0.024, 0.012, 0.028, 0.06, 0.031, 0.035, 0.028, 0.012, 0.009, 0.087]"
"IKEA value chain includes sourcing and extracting raw  materials, manufacturing, transporting of products, retail  activities in stores, customer travel to stores, product use  in customers’ homes and product end-of-life","[0.017, 0.018, 0.016, 0.057, 0.034, 0.042, 0.016, 0.025, 0.025, 0.081, 0.022, 0.021, 0.007, 0.04, 0.015, 0.008, 0.025, 0.077, 0.015, 0.026, 0.049, 0.082, 0.016, 0.057, 0.022, 0.019, 0.111]"
"To ensure the long-term growth and development of the  IKEA business, we use a franchise system. This provides  financial stability while allowing franchisees to challenge,  test and explore new markets and ideas. Together, we  continue to develop the IKEA Brand","[0.019, 0.069, 0.021, 0.018, 0.033, 0.071, 0.013, 0.045, 0.077, 0.027, 0.026, 0.022, 0.021, 0.046, 0.02, 0.011, 0.05, 0.028, 0.006, 0.017, 0.039, 0.021, 0.055, 0.036, 0.018, 0.017, 0.12]"
1 Inter IKEA Group consists of Inter IKEA Holding B.V. and all its subsidiaries,"[0.051, 0.007, 0.044, 0.015, 0.022, 0.046, 0.005, 0.016, 0.17, 0.036, 0.079, 0.016, 0.018, 0.067, 0.023, 0.026, 0.023, 0.014, 0.034, 0.022, 0.056, 0.043, 0.016, 0.04, 0.014, 0.021, 0.007]"
An overview of all Inter IKEA Holding subsidiaries can be found here,"[0.009, 0.049, 0.013, 0.014, 0.012, 0.021, 0.022, 0.023, 0.01, 0.017, 0.018, 0.019, 0.032, 0.034, 0.026, 0.013, 0.044, 0.015, 0.005, 0.088, 0.024, 0.028, 0.015, 0.027, 0.166, 0.085, 0.098]"
"FY22 was a year of challenges affecting  people all over the world as well as  the IKEA business – the still ongoing  COVID-19 pandemic, the devastating  war in Ukraine, high inflation impacting  cost of living, climate change, escalating  nature loss and rising inequalities","[0.025, 0.016, 0.04, 0.009, 0.055, 0.026, 0.023, 0.018, 0.107, 0.054, 0.033, 0.06, 0.021, 0.045, 0.067, 0.025, 0.049, 0.013, 0.061, 0.015, 0.05, 0.012, 0.01, 0.053, 0.01, 0.032, 0.02]"
"times like these, it’s more important  than ever to stay committed to our  sustainability strategy – it’s critical for  our business and an important part of  fulfilling our vision","[0.068, 0.013, 0.032, 0.01, 0.018, 0.053, 0.009, 0.043, 0.095, 0.032, 0.086, 0.014, 0.049, 0.021, 0.012, 0.024, 0.022, 0.011, 0.026, 0.057, 0.04, 0.066, 0.019, 0.086, 0.019, 0.015, 0.007]"
"In this challenging year, we first and foremost  want to thank all our colleagues, customers and  suppliers for their continued support and hard work","[0.033, 0.028, 0.015, 0.039, 0.035, 0.05, 0.012, 0.033, 0.039, 0.079, 0.015, 0.02, 0.005, 0.041, 0.023, 0.01, 0.038, 0.079, 0.015, 0.017, 0.043, 0.045, 0.019, 0.067, 0.023, 0.016, 0.109]"
