paragraph,label
，前瞻地擘畫營運願景，穩步前行,"[0.062, 0.028, 0.049, 0.072, 0.047, 0.071, 0.037, 0.029, 0.018, 0.016, 0.064, 0.019, 0.042, 0.033, 0.018, 0.033, 0.017, 0.023, 0.052, 0.021, 0.03, 0.062, 0.04, 0.041, 0.014, 0.005, 0.008]"
年全球營運據點達百分之百再生能源使用，落實「淨零碳排」目標,"[0.071, 0.038, 0.05, 0.089, 0.044, 0.083, 0.033, 0.032, 0.023, 0.019, 0.052, 0.009, 0.037, 0.026, 0.016, 0.024, 0.019, 0.014, 0.069, 0.028, 0.035, 0.045, 0.017, 0.04, 0.013, 0.011, 0.014]"
者。期待在淨零碳排路上，國泰透過跨領域合作，開展創新解決方案，翻轉商業模式，找出新的發展契機,"[0.049, 0.034, 0.058, 0.088, 0.046, 0.067, 0.038, 0.023, 0.018, 0.016, 0.075, 0.015, 0.046, 0.034, 0.019, 0.028, 0.017, 0.019, 0.066, 0.018, 0.031, 0.05, 0.027, 0.038, 0.014, 0.008, 0.01]"
年將邁入超高齡社會，老化速度為全球之最，我們關注民眾的身心健康，市場成分股，在永續金融、金融包容性等面向，皆名列全球產業第一,"[0.094, 0.035, 0.032, 0.062, 0.063, 0.06, 0.02, 0.029, 0.026, 0.02, 0.07, 0.006, 0.023, 0.035, 0.033, 0.027, 0.032, 0.022, 0.065, 0.011, 0.028, 0.063, 0.021, 0.041, 0.014, 0.006, 0.011]"
主軸，發揮金融業的影響力,"[0.04, 0.039, 0.057, 0.097, 0.043, 0.073, 0.05, 0.028, 0.017, 0.019, 0.058, 0.016, 0.057, 0.021, 0.013, 0.029, 0.016, 0.018, 0.065, 0.026, 0.037, 0.041, 0.023, 0.03, 0.013, 0.009, 0.015]"
著眼於未來人口老化與客戶的保障缺口，以核心職能強健民眾的財務安全,"[0.062, 0.023, 0.05, 0.054, 0.033, 0.071, 0.03, 0.04, 0.03, 0.02, 0.056, 0.019, 0.054, 0.028, 0.01, 0.036, 0.024, 0.017, 0.063, 0.031, 0.052, 0.048, 0.027, 0.041, 0.016, 0.008, 0.016]"
並結合外溢保單，鼓勵保戶持續養成長期固定的健康習慣。同時，我們積極推廣信託保障財務安全的觀念，提升高齡者財務自主權及保障財產安全。國泰亦針對中小企業、青年、女性等客群透過數位化提供可負擔的金融商品與服務，實現普惠金融,"[0.072, 0.031, 0.06, 0.09, 0.061, 0.06, 0.022, 0.027, 0.031, 0.022, 0.049, 0.014, 0.026, 0.047, 0.022, 0.03, 0.025, 0.022, 0.049, 0.021, 0.034, 0.046, 0.024, 0.033, 0.017, 0.007, 0.011]"
管道為學童與青年搭建學習參與的平臺,"[0.054, 0.034, 0.065, 0.082, 0.048, 0.086, 0.025, 0.034, 0.034, 0.025, 0.036, 0.015, 0.039, 0.027, 0.015, 0.027, 0.025, 0.021, 0.047, 0.03, 0.049, 0.031, 0.024, 0.031, 0.018, 0.009, 0.026]"
年論壇和推動產學合作，多方面打造臺灣的氣候人才庫，賦能青年有能力來面對環境及社會永續議題挑戰,"[0.064, 0.031, 0.061, 0.089, 0.053, 0.073, 0.025, 0.022, 0.024, 0.017, 0.079, 0.01, 0.036, 0.035, 0.019, 0.026, 0.016, 0.016, 0.064, 0.021, 0.027, 0.049, 0.019, 0.041, 0.015, 0.008, 0.008]"
年創立滿六十周年，面對下一個十年，國泰也秉持永續經營的精神與勇氣，擁抱機會、承擔責任、提供更好的金融服務。對國泰而言，是嚴峻的挑戰，也是無限的機會,"[0.049, 0.038, 0.059, 0.096, 0.056, 0.075, 0.038, 0.022, 0.02, 0.018, 0.078, 0.013, 0.037, 0.033, 0.018, 0.024, 0.019, 0.015, 0.058, 0.018, 0.034, 0.047, 0.02, 0.035, 0.011, 0.008, 0.011]"
